main.COMMON.unit_lora_161|V|V|V|V
main.COMMON.unit_lora_163|mA|my|mA|mA
main.COMMON.unit_lora_162|µA|ÂμA|ÂμA|ÂμA
main.COMMON.unit_lora_164|A|AT|la|A
main.COMMON.unit_lora_165|Ohms|ohms|ohmios|Ohm
main.COMMON.unit_lora_176|wbgt|WBGT|WBGT|WBGT
main.COMMON.unit_lora_192|s|s|s|s
main.COMMON.unit_lora_193|min|min|min|min
main.COMMON.unit_lora_177|W/m2/K|W / m2 / K|W / m2 / K|W / m2 / K
main.COMMON.unit_lora_194|h|h|h|h
main.COMMON.unit_lora_208|mm|mm|mm|Millimeter
main.COMMON.unit_lora_209|in|in|en|in
main.COMMON.unit_lora_210|m|m|m|m
main.COMMON.unit_lora_255|Comptage|counting|contando|Zählen
main.COMMON.source_0|Application|Application|solicitud|Anwendung
main.COMMON.source_1|Appareil|Apparatus|aparato|Apparat
main.COMMON.source_5|Cloud|Cloud|nube|Wolke
main.COMMON.source_4|Base De Communication|Communication Basis|Base de comunicación|Kommunikationsbasis
main.COMMON.source_3|Voie Calculée|Calculated Way|Manera Calculada|Berechneter Weg
main.COMMON.source_2|Alarme Deportée|Deported Alarm|Alarma deportada|Abgeschobener Alarm
main.COMMON.code_1|Application Lancée|Application Launched|Aplicación Lanzada|Anwendung gestartet
main.COMMON.code_2|Application Fermée|Closed application|Solicitud cerrada|Geschlossene Anwendung
main.COMMON.code_10|Connexion Utilisateur|User Login|Login de usuario|Benutzeranmeldung
main.COMMON.code_11|Deconnexion Utilisateur|User Logout|Cierre de sesión del usuario|Benutzerabmeldung
main.COMMON.code_3|Modification Préférences|Modification Preferences|Preferencias de modificación|Änderungspräferenzen
main.COMMON.code_4|Modification Paramètres Messagerie|Editing Messaging Settings|Edición de la configuración de mensajería|Nachrichteneinstellungen bearbeiten
main.COMMON.code_12|Connexion Echouée|Failed Connection|Conexión fallida|Fehlgeschlagene Verbindung
main.COMMON.code_13|Ajout Utilisateur|Adding User|Agregar usuario|Benutzer hinzufügen
main.COMMON.code_14|Modification Utilisateur|User Modification|Modificación del usuario|Benutzeränderung
main.COMMON.code_15|Suppression Utilisateur|User Deletion|Deleción del usuario|Benutzer löschen
main.COMMON.code_16|Changement Password|Change Password|Cambiar contraseña|Passwort ändern
main.COMMON.code_17|Ajout Groupe|Group Addition|Adición grupal|Gruppenzugehörigkeit
main.COMMON.code_18|Modification Groupe|Group Modification|Modificación grupal|Gruppenmodifizierung
main.COMMON.code_19|Suppression Groupe|Group deletion|Eliminación de grupo|Gruppenlöschung
main.COMMON.code_100|Appairage Appareil RF|RF appliance pairing|Emparejamiento de dispositivos RF|HF-Gerätekopplung
main.COMMON.code_20|Gestion Utilisateurs Modifiée|User Management Modified|Gestión de usuarios modificada|Benutzerverwaltung geändert
main.COMMON.code_101|Suppression Appareil RF|RF Device Removal|Eliminación de dispositivos RF|HF-Gerät entfernen
main.COMMON.code_102|Remplacement Appareil RF|RF Device Replacement|Reemplazo de dispositivo RF|RF-Geräteaustausch
main.COMMON.code_105|Griser Appareil RF|Gray RF Device|Dispositivo de RF gris|Graues HF-Gerät
main.COMMON.code_104|Retrait Appareil RF|RF Device Removal|Eliminación de dispositivos RF|HF-Gerät entfernen
main.COMMON.code_103|Placement Appareil RF|RF Device Placement|Colocación de dispositivos RF|RF-Gerätplatzierung
main.COMMON.code_106|Degriser Appareil RF|Degrade RF Device|Degrada el dispositivo de RF|RF-Gerät abbauen
main.COMMON.code_107|Configuration Verification Reseau|Network Verification Configuration|Configuración de verificación de red|Netzwerküberprüfungskonfiguration
main.COMMON.code_201|Configuration Appareil|Device Configuration|Configuración del dispositivo|Gerätekonfiguration
main.COMMON.code_108|Planification Vidages|Waste Planning|Planificación de desechos|Abfallplanung
main.COMMON.code_109|Planification Mesures|Planning Measures|Medidas de planificación|Planungsmaßnahmen
main.COMMON.code_202|Dechargement Appareil|Device Unloading|Descarga del dispositivo|Gerät entladen
main.COMMON.code_203|Lancement Campagne Par PC|Launch Campaign By PC|Launch Campaign por PC|Kampagne nach PC starten
main.COMMON.code_205|Vidage Appareil|Device emptying|Vaciado del dispositivo|Gerät entleeren
main.COMMON.code_206|Lecture Mesures Appareil|Reading Device Measurements|Lectura de medidas del dispositivo|Gerätemessungen lesen
main.COMMON.code_204|Arrêt Campagne Par PC|Stop Campaign By PC|Stop Campaign Por Computadora|Stoppt die Kampagne auf dem PC
main.COMMON.code_207|Test Communication|Test Communication|Comunicación de prueba|Kommunikation testen
main.COMMON.code_1001|Produit Ajouté|Added Product|Producto agregado|Produkt hinzugefügt
main.COMMON.code_1003|Produit Supprime|Product Deletes|Elimina Producto|Produkt wird gelöscht
main.COMMON.code_1002|Infos Produit Modifiées|Product Information Changed|Información del producto modificada|Produktinformationen geändert
main.COMMON.code_2001|Alarme Deportée Ajoutée|Deported Alarm Added|Alarma deportada agregada|Abgeschobener Alarm hinzugefügt
main.COMMON.code_2002|Alarme Deportée Modifiée|Deported Alarm Modified|Alarma deportada modificada|Abgeleiteter Alarm geändert
main.COMMON.code_2003|Alarme Deportée Supprimée|Deported Alarm Deleted|Alarma deportada eliminada|Abgeleiteter Alarm gelöscht
main.COMMON.code_2005|Alarme Email Ajoutée|Alarm Email Added|Correo electrónico de alarma agregado|Alarm E-Mail hinzugefügt
main.COMMON.code_2004|Pilotage Relais Appareil|Device Relay Control|Control de relé del dispositivo|Geräte-Relaissteuerung
main.COMMON.code_2006|Alarme Email Modifiée|Modified Email Alarm|Alarma de correo electrónico modificado|Geänderter E-Mail-Alarm
main.COMMON.code_2007|Alarme Email Supprimée|Alarm Deleted Email|Correo electrónico eliminado por alarma|Alarm gelöschte E-Mail
main.COMMON.code_3002|Arrêt Service|Stop Service|Detener el servicio|Stoppen Sie den Service
main.COMMON.code_2008|Alarme Email Envoyée|Email Alarm Sent|Alarma de correo electrónico enviada|E-Mail-Alarm gesendet
main.COMMON.code_3001|Démarrage Service|Initiation Service|Servicio de iniciación|Initiierungsservice
main.COMMON.code_5001|Connexion échouée|Failed connection|Conexión fallida|Fehlgeschlagene Verbindung
main.COMMON.code_5002|Connexion rétablie|Revised connection|Conexión revisada|Überarbeitete Verbindung
main.COMMON.code_5004|Requête au serveur|Server request|Solicitud del servidor|Serveranfrage
main.COMMON.code_5003|Echec envoi de données|Failed to send data|Error al enviar datos|Fehler beim Senden der Daten
main.COMMON.code_6001|Création de site|Site creation|Creación del sitio|Website-Erstellung
main.COMMON.code_6003|Echec identification|Failure identification|Identificación de fallas|Fehlererkennung
main.COMMON.code_6002|Supression de site|Site deletion|Eliminación del sitio|Löschen von Websites
main.COMMON.code_2011|Configuration Appareil Bluetooth|Bluetooth Device Setup|Configuración del dispositivo Bluetooth|Bluetooth-Geräteeinrichtung
main.COMMON.code_2010|Configuration Appareil Simplifiée|Simplified Device Configuration|Configuración de dispositivo simplificada|Vereinfachte Gerätekonfiguration
main.COMMON.code_2012|Configuration Appareil Complète|Complete Device Configuration|Configuración completa del dispositivo|Komplette Gerätekonfiguration
main.COMMON.probe_1|Température CTN Ambiance|Temperature NTC Ambience|Temperatura NTC Ambiente|Temperatur NTC Ambiente
main.COMMON.probe_2|Température CTN Interne|Internal CTN temperature|Temperatura interna CTN|Interne CTN-Temperatur
main.COMMON.probe_5|Courant 4/20 mA|4/20 mA current|Corriente de 4/20 mA|4/20 mA Strom
main.COMMON.probe_3|Température CTN Déportée|NTC temperature DeÌ door|NTC temperatura DeÌ puerta|NTC Temperatur DeÌ Tür
main.COMMON.probe_4|Courant 0/20 mA|0/20 mA current|Corriente de 0/20 mA|0/20 mA Strom
main.COMMON.probe_10|Luminosité|LuminositeÌ|LuminositeÌ|LuminositeÌ
main.COMMON.probe_6|Tension 0/10 V|Voltage 0/10 V|Voltaje 0/10 V|Spannung 0/10 V
main.COMMON.probe_7|Tension 0/2500 mV|Voltage 0/2500 mV|Voltaje 0/2500 mV|Spannung 0/2500 mV
main.COMMON.probe_9|Thermo-Hygro SHT Déportée|Thermo-Hygro SHT DeÌ door|Thermo-Hygro SHT DeÌ puerta|Thermo-Hygro SHT DeÌ Tür
main.COMMON.probe_12|Température Thermocouple T|Temperature Thermocouple T|Termopar de temperatura T|Temperatur-Thermoelement T
main.COMMON.probe_11|Température Thermocouple K|Temperature Thermocouple K|Termopar de temperatura K|Temperatur-Thermoelement K
main.COMMON.probe_13|Température Thermocouple J|Temperature Thermocouple J|Termopar de temperatura J|Temperatur Thermoelement J
main.COMMON.probe_8|Thermo-Hygro SHT Ambiance|Thermo-Hygro SHT Ambience|Ambiente Thermo-Hygro SHT|Thermo-Hygro SHT Ambiente
main.COMMON.probe_15|Thermo-Hygro Ambiance|Thermo-Hygro Ambiance|Ambiente Thermo-Hygro|Thermo-Hygro Ambiente
main.COMMON.probe_14|Température PT100 Déportée|Temperature PT100 DeÌ door|Temperatura PT100 DeÌ puerta|Temperatur PT100 DeÌ Tür
main.COMMON.probe_16|Thermo-Hygro Inox Déportée|Thermo-Hygro Inox DeÌ door|Puerta Thermo-Hygro Inox DeÌ|Thermo-Hygro Inox DeÌ Tür
main.COMMON.probe_17|Pince ampèremétrique 20 A|Clamp ampeÌ € remeÌque 20 A|Abrazadera ampeÌ € remeÌque 20 A|Klemme Ampere € remoteÌque 20 A
main.COMMON.probe_18|Pince ampèremétrique 50 A|Clamp ampeÌ € remeÌ cale 50 A|Abrazadera ampeÌ € remeÌ cale 50 A|Klemme Ampere € 50%
main.COMMON.probe_19|Pince ampèremétrique 100 A|Clamp ampeÌ € remeÌ trique 100 A|Abrazadera ampeÌ € remeÌ trique 100 A|Klemme ampe € remeÌ trique 100 A
main.COMMON.probe_20|Pince ampèremétrique 200 A|Clamp ampeÌ € remeÌ trique 200 A|Abrazadera ampeÌ € remeÌ trique 200 A|Klemme ampe € remoreÌ trique 200 A
main.COMMON.probe_22|Thermo-Hygro Plastique Déportée|Thermo-Hygro Plastic DeÌ door|Thermo-Hygro Plastic DeÌ puerta|Thermo-Hygro Kunststoff DeÌ Tür
main.COMMON.probe_21|Pince ampèremétrique 600 A|Clamp ampeÌ € remeÌctrique 600 A|Abrazadera ampeÌ € remeÌctrique 600 A|Clamp Ampere 600 A
main.COMMON.probe_23|Température KT20|Temperature KT20|Temperatura KT20|Temperatur KT20
main.COMMON.probe_24|Température Thermocouple S|Temperature Thermocouple S|Termocupla de temperatura S|Temperatur-Thermoelement S
main.COMMON.probe_26|Compteur impulsions|Pulse counter|Contador de pulsos|Impulszähler
main.COMMON.probe_25|Détection impulsions|Pulse deÌection|Deyección de pulso|Pulsdezektion
main.COMMON.probe_27|Pression 1000 Pa|1000 Pa pressure|1000 Pa de presión|1000 Pa Druck
main.COMMON.Probe_30|Lumière|Light|luz|Licht
main.COMMON.probe_28|Pression 10000 Pa|Pressure 10000 Pa|Presión 10000 Pa|Druck 10000 Pa
main.COMMON.Probe_29|Cellule CO2|CO2 cell|Celda de CO2|CO2-Zelle
main.COMMON.Probe_lora_1|Thermocouple K|Thermocouple K|Termopar K|Thermoelement K
main.COMMON.Probe_lora_2|Thermocouple J|Thermocouple J|Termopar J|Thermoelement J
main.COMMON.Probe_lora_3|Thermocouple T|Thermocouple T|Termopar T|Thermoelement T
main.COMMON.Probe_lora_4|Thermocouple N|Thermocouple N|Termopar N|Thermoelement N
main.COMMON.Probe_lora_5|Thermocouple S|Thermocouple S|Termopar S|Thermoelement S
main.COMMON.Probe_lora_6|Courant 0-20mA|Current 0-20mA|Corriente 0-20mA|Strom 0-20 mA
main.COMMON.Probe_lora_7|Courant 4-20mA|4-20mA current|Corriente 4-20mA|4-20 mA Strom
main.COMMON.Probe_lora_8|Tension 0-5V|0-5V voltage|Voltaje 0-5V|0-5V Spannung
main.COMMON.Probe_lora_9|Tension 0-10V|0-10V voltage|Voltaje 0-10V|0-10V Spannung
main.COMMON.Probe_lora_10|Compteur impulsion|Impulse counter|Contador de impulsos|Impulszähler
main.COMMON.Probe_lora_11|Pince ampèremétrique 50A|50A Ampere Clamp|Abrazadera de amperios 50A|50A Ampereklemme
main.COMMON.Probe_lora_12|Pince ampèremétrique 100A|Clamp ammeter 100A|Amperímetro de pinza 100A|Klemm-Amperemeter 100A
main.COMMON.Probe_lora_13|Pince ampèremétrique 200A|Clamp ammeter 200A|Amperímetro de pinza 200A|Klemm-Amperemeter 200A
main.COMMON.Probe_lora_15|Température CTN externe|External NTC temperature|Temperatura externa NTC|Externe NTC-Temperatur
main.COMMON.Probe_lora_14|Pince ampèremétrique 600A|Clamp ammeter 600A|Amperímetro de pinza 600A|Klemm-Amperemeter 600A
main.COMMON.Probe_lora_17|Température interne|Internal temperature|Temperatura interna|Innentemperatur
main.COMMON.Probe_lora_16|température PT100 externe|external PT100 temperature|temperatura externa PT100|externe PT100 Temperatur
main.COMMON.Probe_lora_18|Pression d'eau 0-10 bar|Water pressure 0-10 bar|Presión de agua 0-10 bar|Wasserdruck 0-10 bar
main.COMMON.Probe_lora_19|Sonde hygro-température|Hygro-temperature probe|Sonda de humedad|Hygro-Temperaturfühler
main.COMMON.Probe_lora_20|Sonde hygro-température inox|Stainless steel hygro-temperature probe|Sonda de higro-temperatura de acero inoxidable|Hygro-Temperatursonde aus Edelstahl
main.COMMON.Probe_lora_24|CO2 interne|Internal CO2|CO2 interno|Internes CO2
main.COMMON.Probe_lora_23|Lumière interne|Internal light|Luz interna|Internes Licht
main.COMMON.Probe_lora_22|Sonde hygro-température interne|Internal hygro-temperature probe|Sonda de temperatura interna|Interne Hygro-Temperatursonde
main.COMMON.Probe_lora_21|Sonde hygro-température ABS/amb|ABS hygro-temperature probe / amb|Sonda de temperatura higrométrica ABS / amb|ABS Hygro-Temperaturfühler / amb
